,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
182,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1980,0.0
183,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1981,0.0
184,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1982,0.0
185,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1983,0.0
186,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1984,0.0
187,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1985,0.0
188,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1986,0.0
189,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1987,0.0
190,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1988,0.0
191,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1989,0.0
192,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1990,0.0
193,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1991,0.0
194,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1992,0.0
195,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1993,0.0
196,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1994,0.0
197,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1995,0.0
198,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1996,0.0
199,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1997,0.0
200,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1998,0.0
201,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,1999,0.0
202,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2000,0.0
203,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2001,0.0
204,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2002,0.0
205,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2003,0.0
206,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2004,0.0
207,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2005,0.0
208,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2006,0.0
209,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2007,0.0
210,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2008,0.0
211,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2009,0.0
212,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2010,0.0
213,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2011,0.0
214,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2012,0.0
215,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2013,0.0
216,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2014,0.0
217,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2015,0.0
218,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2016,0.0
219,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2017,0.0
220,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2018,0.0
221,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2019,0.0
222,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2020,0.0
223,Compensation of Employees,Total Intermedialte Consumption-(Use),Constant prices of the previous year,2021,0.0
224,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1966,1081.734
225,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1967,1097.271
226,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1968,1096.614
227,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1969,1111.805
228,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1970,1042.4
229,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1971,1153.229
230,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1972,1191.245
231,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1973,1332.054
232,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1974,1594.083
233,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1975,1816.37
234,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1976,2116.231
235,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Current prices,1977,2301.322
